ID,CLIENTE_MORA,SEXO,EDAD,INGRESO,SCORE_DATACREDITO,CRED_REESTRUCTURADO,ANT_SF,SALDO_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,ESTADO_MORA_REAL
374491,0,F,49,1.771000499,764,0,2.42,7.384488,0,11,59.56018462,0.0,0.0,0.0
288271,0,F,39,3.954757486,849,0,12.5,21.916819,0,5,74.16938205,12.20611923,0.0,0.0
478631,0,M,60,6.009734448,908,0,12.83,113.882266,1,2,43.60247051,17.00318718,0.0,0.0
322641,0,M,36,2.777025643,862,0,3.42,79.40224,1,26,68.83021282,8.827179487,0.0,0.0
65351,0,F,38,5.434076735,851,0,9.17,30.12572,0,59,0.0,63.01699615,0.0,0.0
188921,0,M,33,2.535975855,822,0,6.58,5.289887,0,60,0.0,61.90868846,0.0,0.0
202751,0,F,49,5.889759896,709,0,12.08,124.259514,0,30,70.69616795,43.89378846,0.0,0.0
217471,0,M,41,2.527170383,675,0,0.5,24.431881,0,-1,91.10852821,0.0,0.0,0.0
94091,1,F,45,3.70600291,680,0,6.0,101.299247,-1,13,64.65073205,49.43257179,0.269230769,0.0
399641,0,F,22,1.529950711,629,0,0.67,1.058857,0,8,74.13509744,0.0,0.0,0.0
390221,0,M,31,2.149635783,774,0,0.0,0.0,0,-1,7.785328205,0.0,0.0,0.0
335981,0,F,47,2.74290444,909,0,22.5,0.551442,0,60,33.13990769,18.61578462,0.0,0.0
292571,0,M,24,3.490268853,817,0,0.42,0.0,0,-1,0.0,11.32132564,0.0,0.0
453391,0,M,41,11.41079067,622,0,12.08,76.035248,0,24,85.82416026,47.44148205,0.0,0.0
93851,0,M,46,1.710462881,730,0,0.0,0.0,0,-1,9.977730769,0.0,0.0,0.0
259181,0,M,59,12.31335152,707,0,20.33,51.873033,0,5,84.11605385,84.00801282,0.0,0.0
542521,0,M,44,10.19783694,808,0,7.75,84.979406,0,16,87.33791154,57.74702436,0.128205128,0.0
209811,0,F,35,3.180976658,928,0,10.92,105.535779,-1,39,53.97381154,57.13036282,0.0,0.0
229761,0,M,45,3.025780219,849,0,8.42,29.845045,-1,4,55.74437308,11.06974359,0.0,0.0
75111,1,F,42,1.409976159,412,0,5.92,0.0,0,-1,29.81540769,0.0,2.923076923,2.307692308
180241,0,F,45,1.581682857,568,0,0.0,0.0,0,-1,0.0,43.72219744,0.0,0.0
160671,0,M,41,8.891325069,821,0,12.67,26.579316,0,12,0.0,68.32942692,0.0,0.0
520041,0,M,40,2.905805667,904,0,4.17,63.607425,0,12,94.14115128,63.06127692,0.0,0.0
36601,0,M,33,4.703222582,771,0,7.08,67.518155,0,21,97.6604859,65.67450385,0.0,0.0
366091,0,M,57,9.767469505,917,0,28.92,0.597671,0,60,0.0,0.915339744,0.0,0.0
342501,0,M,34,3.679586495,938,0,2.83,102.142371,1,34,0.0,35.64935,0.0,0.0
93911,0,M,30,1.521145239,589,0,2.58,0.0,0,31,0.0,3.644230769,4.230769231,4.230769231
468491,0,F,56,1.753389556,812,0,15.25,0.020912,0,60,0.0,35.22820513,0.269230769,0.269230769
323141,0,M,27,1.229463988,835,0,1.58,0.164001,0,5,47.96794872,10.88343077,0.0,0.0
146051,0,M,28,1.469413093,680,0,0.25,9.649696,0,4,15.41718462,2.34945,0.0,0.0
166891,0,M,33,8.185786647,785,0,3.5,11.487838,0,4,68.30619231,27.67025641,0.0,0.0
159281,0,M,33,2.93992687,933,0,5.33,1.261383,0,9,1.315188462,10.68612564,0.038461538,0.0
111591,1,M,31,1.099583281,725,0,2.92,0.294983,0,16,65.38461538,56.32992051,0.0,0.0
94991,0,M,61,10.96281229,692,0,21.33,63.990463,0,39,98.38067692,100.4368474,0.0,0.0
433531,0,M,27,1.925096254,817,0,4.33,4.923359,0,4,48.98627436,0.0,0.102564103,0.0
103311,0,F,37,3.352683357,675,0,10.25,59.889315,0,6,83.14617436,61.75409231,6.0,0.0
105641,0,M,32,4.144075128,826,0,4.5,30.038766,0,43,74.12257436,73.00596795,0.0,0.0
164051,0,F,59,15.8905744,923,0,3.92,172.797476,-1,15,65.50118462,42.73527949,0.0,0.0
327781,0,M,41,1.667536206,894,0,7.5,0.636195,0,60,0.0,39.28577179,0.0,0.0
489331,0,F,43,3.627854348,826,0,10.83,19.840929,-1,42,7.692307692,15.09082564,0.0,0.0
123761,0,M,52,1.848048377,913,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
72091,0,F,42,18.20311141,762,0,13.33,361.734281,-1,3,61.62958077,78.37344615,0.358974359,0.0
16861,0,F,38,2.097903637,621,0,2.83,0.0,0,30,84.21652179,47.9711359,0.820512821,0.0
366351,0,F,28,3.972368429,872,0,1.75,33.358428,0,5,85.92104231,4.752891026,0.0,0.0
536951,0,F,40,1.917391467,597,0,3.58,13.392021,0,7,89.28967051,38.57820513,0.115384615,0.0
144431,0,M,35,2.535975855,808,0,5.25,3.053297,0,60,83.71633333,80.05291154,0.115384615,0.0
148491,0,F,39,3.507879796,739,0,10.42,10.279287,0,6,83.55205,35.48077692,0.0,0.0
